,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
10,10,Taiwan,卓武山咖啡,C09,卓武山咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,許峻榮,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.17,8.17,8.08,8.08,10.0,10.0,10.0,8.25,0.0,87.17,9.1,0,0,bluish-green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
11,11,Ethiopia,Nefarious Silk - Lafto,Natural Gesha gr.1 2025-P0099,Woreda 02 Addis Abeba,01021260004,Daarnhouwer,1100,Bench Maji,South BurshaTrading PLC,100,30 kg,METAD Agricultural Development plc,2024 / 2025,"April 17th, 2025",Hans Zevenhek,Gesha,Completed,Natural / Dry,8.08,8.08,8.17,8.33,8.08,8.0,10.0,10.0,10.0,8.33,0.0,87.08,9.8,1,7,yellow green,14,"April 17th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
12,12,Taiwan,鄒築園 Zou Zhou Yuan,"2024 Sustainable Specialty Coffee Farm Awards,S068",鄒築園 Zou Zhou Yuan,,Taiwan Coffee Laboratory,1300,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","方政倫 FANG, CHENG-LUN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.33,8.17,8.08,8.08,8.0,8.08,10.0,10.0,10.0,8.25,0.0,87.0,11.6,0,0,bluish-green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
13,13,Taiwan,頭櫃山景觀生態咖啡農場,"2024 Sustainable Specialty Coffee Farm Awards,S072",頭櫃山景觀生態咖啡農場,,Taiwan Coffee Laboratory,1050,"台中市新社區 Xinshe Dist., Taichung City","賴建益 LAI,JIAN-YI",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.08,8.17,7.92,8.08,10.0,10.0,10.0,8.33,0.0,87.0,10.1,0,0,greenish,2,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
14,14,Ethiopia,Sakicha kebele,Natural Guji Gr.1 Sakicha 2025-P0535,Bulehora District West Guji Oromia,01001400207,Daarnhouwer,2000,"Sakicha kebele, Bulehora District, West Guji Zone, Oromia",Aklilu Kassa Chrissa,100,60 kg,METAD Agricultural Development plc,2024 / 2025,"September 10th, 2025",Hans Zevenhek,Ethiopian Heirlooms,Completed,Natural / Dry,8.0,8.17,8.17,8.25,8.25,8.08,10.0,10.0,10.0,8.08,0.0,87.0,10.1,0,2,yellow green,5,"September 10th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
15,15,Vietnam,Công ty TNHH CARABU COFFEE,A032,Công ty TNHH CARABU COFFEE,,"carabu coffee, co, ltd",500,Buôn Ma Thuột,Hoàng Mạnh Tường,2000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",carabu,AH1,Completed,Natural / Dry,8.5,8.25,8.08,8.08,8.08,7.83,10.0,10.0,10.0,8.17,0.0,87.0,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
16,16,Taiwan,牛磨角庄園 Gû Buâ Kak Estate,"2024 Sustainable Specialty Coffee Farm Awards,S003",牛磨角庄園 Gû Buâ Kak Estate,,Taiwan Coffee Laboratory,1200,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳秉汯 CHEN, BING-HONG",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.0,8.17,8.0,8.33,8.17,8.08,10.0,10.0,10.0,8.17,0.0,86.92,11.2,0,0,greenish,2,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
17,17,Taiwan,名陽園,C17,名陽園,,Taiwan Coffee Laboratory,1500,嘉義/竹崎鄉,王政淵,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.17,8.25,8.25,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.0,86.92,10.2,0,0,bluish-green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
18,18,Vietnam,Công ty TNHH MTV Rẫy Rừng,A203,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1400,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,1500,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,"Catimor, TH1, THA1",Completed,Natural / Dry,8.33,8.17,8.0,8.17,8.08,8.08,10.0,10.0,10.0,8.08,0.0,86.92,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
19,19,"Tanzania, United Republic Of",IYENGA,S71722/P05903,CITY COFFEE LTD,033/DE/725/0018,VOLCAFE/TaylorWinch Tanzania Ltd,1624,Mbeya,IYENGA AMCOS,600,30 kg,Kenya Coffee Traders Association,2024 / 2025,"October 18th, 2024",Balam Hinyula,Bourbon,Completed,Washed / Wet,8.08,8.0,8.17,8.08,8.17,8.17,10.0,10.0,10.0,8.17,0.0,86.83,11,0,0,green,2,"October 18th, 2025",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
20,20,Ethiopia,Smallholders,36284,SCFCU mill Addis Ababa,010/0145/0057,Allegro Coffee,1850-2000,Sidama,Shantagolba Cooperative,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"March 27th, 2025",Allegro Coffee,Ethiopian Heirlooms,Completed,Washed / Wet,8.08,8.08,8.08,8.42,7.92,8.08,10.0,10.0,10.0,8.17,0.0,86.83,8.6,0,1,blue-green,4,"March 27th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
21,21,Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,"1,200-1,300","Doi Saket, Chiangmai",Paranya Nanthakun,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Paranya Nanthakun,Gesha,Completed,Natural / Dry,8.42,8.33,8.0,8.08,7.92,7.92,10.0,10.0,10.0,8.17,0.0,86.83,10,0,0,yellow -green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
22,22,Vietnam,8Ro Company,A430,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Completed,Natural / Dry,8.33,8.17,8.17,8.0,8.17,8.0,10.0,10.0,10.0,7.92,0.0,86.75,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
23,23,Ethiopia,Abera Farm,2,Abera washing staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Washed / Wet,7.92,8.08,8.0,8.42,8.08,8.08,10.0,10.0,10.0,8.17,0.0,86.75,9.8,0,0,blue-green,1,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
24,24,Vietnam,Công ty Cổ phần Hạt Rừng,A654,Công ty Cổ phần Hạt Rừng,,THE FOREST BEANS JOINT STOCK COMPANY,1580,"Thôn Trường Sơn, Xã Xuân Trường, Đà Lạt, Lâm Đồng",Nguyễn Hữu Yên,3000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Hạt Rừng,Catimor,Completed,Washed / Wet,8.25,8.17,7.92,8.17,8.08,8.0,10.0,10.0,10.0,8.17,0.0,86.75,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
25,25,Taiwan,仙井咖啡莊園 Xian Jing Estate,"2024 Sustainable Specialty Coffee Farm Awards,S052",仙井咖啡莊園 Xian Jing Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣番路鄉 Fanlu Township, Chiayi County","范姵甯 FAN,PEI-NING",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon x Geisha,Completed,Pulped natural / honey,8.17,8.25,8.08,7.92,7.83,8.25,10.0,10.0,10.0,8.17,0.0,86.67,10.2,0,0,green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
26,26,Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Phongsathorn Khunta,Mix,Completed,Washed / Wet,8.33,8.17,7.92,7.92,7.92,8.17,10.0,10.0,10.0,8.17,0.0,86.58,11.7,0,0,yello-green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
27,27,Taiwan,大鋤花間咖啡生態農場 （Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.17,8.08,8.08,7.83,8.08,10.0,10.0,10.0,8.33,0.0,86.58,9.2,0,0,greenish,1,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
28,28,Taiwan,向陽台灣咖啡 Sunlit Taiwan Coffee Farm,"2024 Sustainable Specialty Coffee Farm Awards,S086",向陽台灣咖啡 Sunlit Taiwan Coffee Farm,,Taiwan Coffee Laboratory,1000,"南投縣國姓鄉 Guoxing Township, Nantou County","林言謙 LIN, YEN-CHIEN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.17,8.0,8.08,7.92,8.08,10.0,10.0,10.0,8.17,0.0,86.5,10.1,0,0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
29,29,Ethiopia,Moredocofe S.C,005,Moredocofe Huling facility,010/0184/0016,Moredocofe S.C,1900,Oromia,Moredocofe S.c,100,6000 kg,METAD Agricultural Development plc,2024 / 2025,"May 8th, 2025",Moredocofe S.C,Ethiopian Heirlooms,Completed,Natural / Dry,7.92,8.17,8.08,8.25,7.92,8.08,10.0,10.0,10.0,8.08,0.0,86.5,9.2,0,5,yellow green,4,"May 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
30,30,Ethiopia,Hama Kebele small holder farmer,233,Dancho Mukere PLC Hama Washing station,010/0030/0233,Mullege PLC,1950-2100,Ethiopia,Fermentation process,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"May 6th, 2025",Mullege PLC,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,7.92,8.08,8.17,8.17,8.08,10.0,10.0,10.0,8.08,0.0,86.5,9.4,0,0,greenish,3,"May 6th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
31,31,Taiwan,COFEE BERRIES MANOR,C201,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.08,8.0,8.08,8.0,8.08,10.0,10.0,10.0,8.17,0.0,86.42,8.5,0,0,greenish,4,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
32,32,Colombia,,3-1832-11038,TRILLADORA ANDES - SUCDEN SERVICIOS,1832,SUCDEN COLOMBIA SAS,1400-2200,HUILA,SEVERAL,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"November 23rd, 2024",Nataly Marcela Cujia Sierra,CASTILLO-CATURRA-COLOMBIA,Completed,WASHED,8.08,8.08,7.92,7.92,8.0,8.5,10.0,10.0,10.0,7.92,0.0,86.42,11.8,0,0,green,2,"November 23rd, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
33,33,Ethiopia,Eyasu Abraham,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,010/1269/0066,Taiwan Coffee Laboratory,2100-2200,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,320,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Heirloom,Completed,Washed / Wet,8.17,8.17,8.0,7.92,7.92,8.08,10.0,10.0,10.0,8.17,0.0,86.42,9,0,0,green,1,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
34,34,Thailand,Doi Tung Development Project,DT2024/2025 Gayo Fermented Natural Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Chiang Rai, Thailand",Doi Tung Development Project,1,30 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Tanawit Thirintong,Gayo,Completed,Fermented Natural,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,8.0,0.0,86.42,12.5,0,0,bluish-green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
35,35,Taiwan,名陽園 MINGYANG,"2024 Sustainable Specialty Coffee Farm Awards,S031",名陽園 MINGYANG,,Taiwan Coffee Laboratory,1500,"嘉義縣 竹崎鄉 Zhuqi Township, Chiayi County","王政淵 WANG, CHENG-YUAN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.08,8.0,8.0,8.0,8.08,10.0,10.0,10.0,8.08,0.0,86.33,10,0,0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
36,36,Vietnam,Công ty TNHH MTV Rẫy Rừng,A333,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,Typica,Completed,Pulped natural / honey,8.17,7.92,8.08,8.17,8.08,7.83,10.0,10.0,10.0,8.08,0.0,86.33,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
37,37,Taiwan,何留咖啡Hiu Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,何留咖啡Hiu Coffee Manor,,Taiwan Coffee Laboratory,650,"Wanrong Township, Hualien County","林金光LIN,JIN-GUANG",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Anaerobic Washed Process,8.0,8.25,7.92,8.08,8.0,8.0,10.0,10.0,10.0,8.08,0.0,86.33,11.2,0,0,greenish,0,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
38,38,Vietnam,Kra Jan Ha Djim,A444,Kra Jan Ha Djim,,,1500,"Lạc Dương, Lâm Đồng",Kra Jan Ha Djim,100,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Kra Jan Ha Djim,Yellow Bourbon,Completed,Pulped natural / honey,8.08,8.25,8.0,8.08,8.08,8.08,10.0,10.0,10.0,7.75,0.0,86.33,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
39,39,Colombia,N / A,3-0068-00878,Trilladora Popayán,3-0068-00878,ECOM COLOMBIA,1700,Cauca,Regional producers,200,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"April 30th, 2025",Raúl Vargas,Caturra,Completed,Washed / Wet,8.0,7.83,8.0,8.0,8.08,8.33,10.0,10.0,10.0,8.08,0.0,86.33,10.5,4,1,green,6,"April 30th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
